uri	predicate_id
http://purl.org/dc/terms/subject	0
http://dbpedia.org/ontology/subsequentWork	1
http://dbpedia.org/property/genre	2
http://dbpedia.org/property/author	3
http://dbpedia.org/ontology/author	4
http://dbpedia.org/ontology/mediaType	5
http://dbpedia.org/ontology/previousWork	6
http://dbpedia.org/property/publisher	7
http://dbpedia.org/ontology/language	8
http://dbpedia.org/ontology/publisher	9
http://dbpedia.org/ontology/literaryGenre	10
http://dbpedia.org/property/title	11
http://dbpedia.org/ontology/country	12
http://dbpedia.org/ontology/nonFictionSubject	13
http://dbpedia.org/property/subject	14
http://dbpedia.org/property/coverArtist	15
http://dbpedia.org/ontology/series	16
http://dbpedia.org/property/mediaType	17
http://dbpedia.org/ontology/coverArtist	18
http://dbpedia.org/property/country	19
http://dbpedia.org/property/publisherEn	20
http://dbpedia.org/property/subjects	21
http://dbpedia.org/property/language	22
http://dbpedia.org/property/magazine	23
http://dbpedia.org/ontology/illustrator	24
http://dbpedia.org/ontology/creator	25
http://dbpedia.org/property/series	26
http://dbpedia.org/property/category	27
http://dbpedia.org/ontology/wikiPageRedirects	28
http://dbpedia.org/property/illustrator	29
http://dbpedia.org/property/network	30
http://dbpedia.org/ontology/genre	31
http://dbpedia.org/property/creator	32
http://dbpedia.org/ontology/magazine	33
http://dbpedia.org/property/lang	34
http://dbpedia.org/property/releaseDate	35
http://dbpedia.org/property/published	36
http://dbpedia.org/ontology/premierePlace	37
http://dbpedia.org/property/tpb	38
http://dbpedia.org/property/place	39
http://dbpedia.org/property/writer	40
http://dbpedia.org/ontology/type	41
http://dbpedia.org/ontology/productionCompany	42
http://dbpedia.org/property/owner	43
http://dbpedia.org/property/transpublisher	44
http://dbpedia.org/property/genres	45
http://dbpedia.org/property/meter	46
http://dbpedia.org/property/metre	47
http://dbpedia.org/ontology/originalLanguage	48
http://dbpedia.org/property/origLang	49
http://dbpedia.org/ontology/parentCompany	50
http://dbpedia.org/property/parent	51
